id,name,brewer,style,abv,rank,av_rating,n_reviews,n_ratings,desc
276,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,American Pale Ale (APA),5.6%,90,4.05,"3,129","11,862",Generous quantities of premium Cascade hops give the Pale Ale its fragrant bouquet and spicy flavor. 37 IBU
64228,Zombie Dust,3 Floyds Brewing Co.,American Pale Ale (APA),6.2%,100,4.63,"1,669","10,724","This intensely hopped and gushing undead Pale Ale will be one’s only respite after the zombie apocalypse. Created with our marvelous friends in the comic industry. 60 IBU Formerly known as Cenotaph: A medium bodied single hop beer showcasing Citra hops from the Yakima Valley, USA."
6518,Dale's Pale Ale,Oskar Blues Grill & Brew,American Pale Ale (APA),6.5%,87,3.9,"2,027","7,658",
39,Alpha King,3 Floyds Brewing Co.,American Pale Ale (APA),6.66%,95,4.26,"1,899","6,779",A bold yet balanced American Pale Ale with slight caramel sweetness and aggressive citrus hoppiness. This is our flagship beer. 68 IBU
72170,Pseudo Sue,Toppling Goliath Brewing Company,American Pale Ale (APA),6.8%,100,4.53,822,"5,292","This single hop ale showcases the Citra hop. Named for the largest T-rex fossil ever discovered, she roars with ferocious aromas of grapefruit, citrus, mango and evergreen. Delicate in body with a mild bite in the finish. 50 IBU"
48582,Daisy Cutter Pale Ale,Half Acre Beer Company,American Pale Ale (APA),5.2%,93,4.17,939,"4,004","Daisy Cutter Pale Ale is one of the first beers we brewed at our brewery on Lincoln Ave. It began as a special release bomber beer, but caught fire both in and outside the brewery. At the time, 2009, there were some local pale ales that hit with natural power, but not many. Daisy Cutter’s lush and dank characteristics steadily carved out a place within the Chicago brewing landscape. Today, Daisy Cutter is a call brand that we continue to keep raw and relevant. Blended pine, citrus, papaya and mango. Dank. Apparent biscuit, lingering, obscenely dry."
195,Mirror Pond Pale Ale,Deschutes Brewery,American Pale Ale (APA),5%,88,3.91,"1,046","3,930",Alc. by Vol.: 5.0% IBUs: 40 170 calories per 12 oz serving
751,420 Extra Pale Ale,SweetWater Brewing Company,American Pale Ale (APA),5.4%,83,3.66,840,"3,927",
78906,MO,Maine Beer Company,American Pale Ale (APA),6%,95,4.3,515,"3,394","Just after opening our brewery, working long nights, weekends, and still maintaining our day jobs, my brother Daniel (the brewer) had twins. Cheers to his courage and dedication to making better beer. Flavors and aromas of zesty citrus, passionfruit, and pine present themselves throughout. A very subtle malt sweetness for balance, but this is intended to finish dry."
225,Burning River Pale Ale,Great Lakes Brewing Co.,American Pale Ale (APA),6%,89,3.96,"1,052","3,305","A toast to the Cuyahoga River Fire! For rekindling an appreciation of the Great Lakes region’s natural resources (like the malt and hops illuminating this fresh Pale Ale). Crisp and bright, with refreshing flickers of citrus and pine that ignite the senses (not our local waterways)."
51512,Peeper,Maine Beer Company,American Pale Ale (APA),5.5%,92,4.12,657,"3,040","Our original hoppy American ale. Dry, clean, well-balanced with generous dose of American hops."
57886,Edward,Hill Farmstead Brewery,American Pale Ale (APA),5.2%,98,4.44,385,"2,856","Edward (1917-2002) is our grandfather; Hill Farmstead Brewery rests upon the land that was once home to him and his five children. In his honor, this American Pale Ale is dutifully crafted from American malted barley, a plethora of American hops, our ale yeast and water from Edward’s well. It is unfiltered, naturally carbonated, and dry hopped. Aromatic and flowery, with impressions of citrus and pine, this is the ale that I dream to have shared with Edward.  85 IBU Pale and Caramel malt; Centennial, Chinook, Columbus, Simcoe, and Warrior hops; House Ale Yeast, and our Well Water."
56738,Moon Man No Coast Pale Ale,New Glarus Brewing Company,American Pale Ale (APA),5%,92,4.13,550,"2,726","You hold a session beer with a bright bold blend of five hops that flirt obligingly with the smooth malty backside. Don't let this one lay around it is brewed to be enjoyed today. Bold and engaging without pretense, because in Wisconsin you do not have to be extreme to be real."
55564,Red Chair NWPA,Deschutes Brewery,American Pale Ale (APA),6.2%,92,4.11,639,"2,700",Available: January to May Alc. by Vol.: 6.2% IBUs: 60 192 calories per 12 oz serving
133621,Born Yesterday,Lagunitas Brewing Company,American Pale Ale (APA),7.2%,98,4.41,547,"2,698","Since Born Yesterday is bottled and shipped the very same day—probably the freshest Fresh Hop ale you'll get your paws on—the arrival date is kinda in the air 'til things get closer and nature says so. Kinda like a fresh lil' newborn, only this puppy is made from whole-cone, un-kilned Mosaic, Equinox, Citra, Simcoe and Amarillo hops from our farmer friends in Yakima, WA. It's borning soon. Wanna be the first to know when? You've gotta guess first … 60 IBU"
66281,Headwaters Pale Ale,Victory Brewing Company - Downingtown,American Pale Ale (APA),5.2%,88,3.92,622,"2,630","Crisp and aromatic, this boldly-hopped American ale balances notes of citrus and tea-like earthiness from American hops with a subtle German malt base."
