id,name,brewer,style,abv,rank,av_rating,n_reviews,n_ratings,desc
1157,Honker's Ale,Goose Island Beer Co.,English Bitter,4.3%,83,3.67,"1,140","3,971","Golden sunset color, fruity hop aroma, biscuity malt flavor, soft body."
222,Fuller's London Pride,Fuller Smith & Turner PLC,English Bitter,4.1%,88,3.94,"1,114","2,681"," just the iconic ale of the capital, London Pride is an all-British affair that unites a nation of beer drinkers. It’s brewed with entirely home-grown hop varieties - Target for bittering and Northdown, Challenger and Goldings for aroma - but the soul of the beer is unquestionably in the malt.  Crystal malts combine with spring-harvested Pale Ale varieties Concerto and Propino, to give Pride its inimitable depth and balance. Brewed to 4.1%, this tawny-coloured premium ale borrows sweet raisin, biscuit and dried-fruit notes from the Crystal malt, while fresh, piney herbs emanate from the hops. Rich, smooth and elegant on the palate, it draws to a clean, satisfying finish with beautifully balanced bitterness."
828,Bluebird Bitter,Coniston Brewing Co. Ltd,English Bitter,4.2%,87,3.88,305,495,"Bluebird is a fine session ale with a light golden colour. The intense resinous and spicy hop character which is the beer's hallmark is derived from the use of unusual quantities of English Challenger hops, each bale being individually and personally selected by the brewer. The malt is, of course, Maris Otter fermented slightly warm to give a soft fruitiness with a faint hint of scented geranium."
305,Spitfire Premium Kentish Ale,Shepherd Neame Ltd,English Bitter,4.5%,82,3.62,183,452,This 4.2% Kentish ale (bottle 4.5%) was first brewed in 1990 to celebrate the Battle of Britain which was fought in the skies above Kent 50 years earlier. The beer is named after the legendary Spitfire aeroplane designed by RJ Mitchell. The versatility of the aircraft and the courage of its pilots were essential to victory and were a key symbol of the spirit of that time.
2679,Younger's Special Bitter,Rogue Ales,English Bitter,4.8%,88,3.95,279,367,
50670,Newcastle Summer Ale,Heineken Nederland B.V.,English Bitter,4.4%,69,2.98,127,361,a Scottish Sparkling Ale
2505,City Steam The Naughty Nurse,City Steam Brewery Café,English Bitter,5%,80,3.5,65,318,"The Naughty Nurse has become quite the popular lady in the Nutmeg State. With her classy and sensual elegance, combined with just the right amount of...ahem...bite, she has made many a friend both inside and outside of our brewpub. Don't let that ""come hither"" look fool you, though - she is all business when it comes to performance. In fact, she is our best seller! If the Nurse needs a match, it can be a nice beefy burger, or almost anything else on a pub style menu. And with her moderate alcohol content, she can stand alone and make your next Session last a long, long time! This fine ale is brewed for a spicy, slightly bittersweet finish using traditional English malt, hops, yeast and manners. Available short or tall, of course!"
1902,Ruddles County,Greene King / Morland Brewery,English Bitter,4.7%,85,3.78,189,273,
917,Foster's Special Bitter,Foster's Group Limited,English Bitter,5%,67,2.85,174,237,
4173,Uncle Teddy's Bitter,Victory Brewing Company - Downingtown,English Bitter,4%,89,4.02,85,232,
56938,Long Haul Session Ale,Two Brothers Brewing Company,English Bitter,4.2%,81,3.6,83,217,"""Ale aged a minimum of 4 weeks in French Oak Foudres."""
21878,Doom Bar,Sharp's Brewery,English Bitter,4%,79,3.47,47,213,
231,Gritty McDuff's Best Bitter,Gritty McDuff's Brewing Company,English Bitter,5%,82,3.62,115,194,"Best Bitter was the first beer we ever brewed, way back in 1988 at our Portland Brew Pub. This true English classic has been the anchor of our draft selection ever since. Best Bitter is a copper-hued and well-balanced ale with real old world integrity. We use fine Yakima Golding hop flowers in the brewing of this beer for a fine dry finish that compliments the malty palate. The taste captures the freshness of a hand-drawn ale that goes right from the conditioning tank to your glass! 25 IBU"
72718,Old Golden Hen,Greene King / Morland Brewery,English Bitter,4.1%,79,3.46,59,180,
5785,Hopback Summer Lightning,Hop Back Brewery plc,English Bitter,5%,83,3.66,155,180,
9684,Belhaven Best,Belhaven Brewery Company Ltd.,English Bitter,3.5%,76,3.3,77,177,"The pint of pints. Belhaven Best is the main man of draught ales. Best colour, best flavour, best balance - the pint for all occasions. We Scots are often not known for blowing our own trumpets, modest souls that we are, but we've named this Best for a reason. We're sure you'll agree."
5413,Adnams Southwold Bitter,"Adnams plc, Sole Bay Brewery",English Bitter,4.1%,82,3.63,72,169,
14050,Geary's Winter Ale,D.L. Geary Brewing Company,English Bitter,6%,79,3.46,121,169,"Geary’s new Winter Ale is a well balanced and more aggressive bitter, both in alcohol and hop character, without being overpowering. It is dark gold and coppery in color with moderate carbonation. Malt flavors are toasty and fruity, resulting in a tasty blend with firm body balanced by English hops."
4064,Brakspear Bitter,W.H. Brakspear & Sons plc,English Bitter,3.4%,85,3.77,75,149,
4526,Goliath,Wychwood Brewery Company Ltd,English Bitter,4.7%,79,3.45,81,139,
43171,McNellie's Pub Ale,Marshall Brewing Company,English Bitter,5%,84,3.73,62,132,"Inspired by the house ales found in the pubs of Great Britain and Ireland, McNellie’s Pub Ale is a traditional ale brewed in the style of a Best Bitter. Various maltings of two-row barley are joined with American Glacier hops to give this beer its color, complexity, and a bit of a New World twist. The Old World character present in this ale is largely influenced by its yeast, which originates in the port city of Hull, East Yorkshire, England."
42187,Young's Bitter,Eagle Brewery,English Bitter,3.8%,85,3.8,54,129,
208360,Session Ale-Extra Special Bitter,Boston Beer Company (Samuel Adams),English Bitter,5%,81,3.57,40,129,
4025,Courage Directors Bitter,Eagle Brewery,English Bitter,4.8%,79,3.49,75,120,
29633,St. Peter's Ruby Red Ale,St. Peter's Brewery Co Ltd,English Bitter,4.3%,83,3.7,57,120,"A rich, red ale with subtle malt undertones and a distinctive spicy hop aroma from Styrian Goldings. Brewed with skill and patience in one of Britain's finest small breweries"
61977,Op & Top,Brouwerij De Molen,English Bitter,4.5%,84,3.76,46,119,
20558,Tetley's Smoothflow,Carlsberg-Tetley Brewing Ltd,English Bitter,3.6%,75,3.25,55,117,
7300,Arkell Best Bitter,Wellington County Brewery,English Bitter,4%,83,3.67,67,115,"Originally served as a real ale, Arkell Best Bitter has a loyal following. This delicate and well-balanced bitter is Wellington’s session beer."
53373,Chester County Bitter,Sly Fox Brewing Company,English Bitter,4.5%,82,3.63,35,114,This traditional British Ale is authentic cask conditioned beer with a smooth malt profile balance by a subtle hop presence. Dry-hopping in the cask produces an enticing hop aroma in this quaffable session ale.
11361,Cain's Finest Bitter,Robert Cain & Company Limited,English Bitter,4%,80,3.55,65,110,
123416,London Homesick Ale,Oasis Texas Brewing Company,English Bitter,4.9%,80,3.52,22,103,
21076,Bitter,Ridgeway Brewing,English Bitter,4%,84,3.76,79,98,
10094,Colonel Blides Cask Ale,Cricket Hill Brewing Co.,English Bitter,5.5%,82,3.62,57,98,5.5% ABV 31 IBU'S
14511,Boddingtons Bitter,Boddingtons,English Bitter,3.8%,70,2.97,29,88,
22363,XB Bluebird Bitter,Coniston Brewing Co. Ltd,English Bitter,4.4%,82,3.63,55,85,
4059,Pitchfork Rebellious Bitter,RCH Brewery,English Bitter,4.3%,84,3.74,59,82,The name comes from the Pitchfork rebellion of 1685 the last battle to be fought on English soil of the Civil War. A golden bitter with floral citric hop aroma. It has a hoppy predominate taste which is slightly sweet and fruity and leaves you wanting more.
4074,Old Brewery Bitter,Samuel Smith Old Brewery (Tadcaster),English Bitter,4%,83,3.72,33,78,
14297,HopHead,Dark Star Brewing Company Limited,English Bitter,3.8%,87,3.9,31,77,An extremely clean-drinking pale golden ale with a strong floral aroma and elderflower notes from the Cascade hops. This beer is full-bodied and full-flavoured yet gentle enough to make it a favourite session beer. 50 IBU
61950,Little Dog,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Bitter,3.5%,82,3.62,19,73,"An experimental beer, moderately hopped and low alcohol. First made from second runnings of Doggie Claws 2010; subsequent releases of Fred or Adam second runnings."
2933,Camerons Strongarm,Castle Eden & Camerons Brewing Company Ltd,English Bitter,4%,84,3.74,55,68,
10597,St. Peter's Best Bitter,St. Peter's Brewery Co Ltd,English Bitter,3.7%,80,3.52,43,67,A traditional best bitter ale brewed wth Pale and Crystal malts and Goldings aroma hops. The result is a full-bodied ale with distinctive fruity caramel notes. Brewed with skill and patience in one of Britain's finest small breweries.
3152,HSB (Horndean Special Bitter),George Gale & Company Ltd,English Bitter,4.8%,88,4.01,44,65,
20842,St. Patrick's Best,Strangford Lough Brewing Company Ltd,English Bitter,4.2%,81,3.6,49,65,
10403,Boltmaker,Timothy Taylor's,English Bitter,4%,89,4.05,27,64,"A well-balanced, genuine Yorkshire Bitter, with a full measure of maltiness and hoppy aroma – Boltmaker is first choice for the discerning drinker – on both sides of the Pennines. Formerly known as Best Bitter, Boltmaker has won many awards over the years but most recently it was awarded the CAMRA Supreme Champion Beer of Britain in 2014 and Champion Beer of Britain – Bitter category in 2016. The ABV in bottle is 4.2%."
11445,West Bank Pub Ale,Minneapolis Town Hall Brewery,English Bitter,4.8%,86,3.85,47,62,British style pale ale featuring the the rich character of UK Golden Promise malt with a distinct finish from the use of British Fuggles and Golding hops.
35153,Hooky Bitter,Hook Norton Brewery Co. Ltd.,English Bitter,3.5%,86,3.87,45,61,
23975,Adnams Bitter,"Adnams plc, Sole Bay Brewery",English Bitter,4.1%,83,3.71,44,61,
2436,St. Peter's Organic Best Bitter,St. Peter's Brewery Co Ltd,English Bitter,4.1%,87,3.94,30,60,
4775,Jeffrey Hudson Bitter,Oakham Ales / The Brewery Tap,English Bitter,3.8%,88,3.97,39,60,
36604,Hopping Hare,"Badger Brewery, Hall and Woodhouse",English Bitter,4.5%,80,3.53,23,60,
35547,Pure UBU,Purity Brewing Co,English Bitter,4.5%,82,3.65,27,56,
62442,Apparition Ale,Moon River Brewing Company,English Bitter,4.8%,78,3.38,12,56,
2454,Brains The Rev. James,Brains,English Bitter,4.5%,80,3.55,26,55,"The Rev. James beer is one steeped in history. Acquired after the purchase of Crown Buckley, Rev. James is brewed to an original recipe dating back to 1885. The beer is named after one of the original owners of Buckley Brewery, the Rev, James Buckley, a business man with two conflicting roles – saving souls and satisfying thirsts. The Rev. James is brewed to a traditional recipe and has been described as having a flavour not commonly available these days. Full-bodied and warming, The Rev. James is rich in palate, spicy and aromatic with a deeply satisfying finish."
86242,Uncle Bob's Bitter,Riverwalk Brewing,English Bitter,4.5%,79,3.44,18,54,
6201,Old Leg Over,Daleside Brewery,English Bitter,4.1%,80,3.55,44,52,
32569,SOB (Special Old Bitter),Pump House Brewery,English Bitter,5%,83,3.73,29,51,A deep honey-coloured unfiltered west coast style session beer with the classic fresh aromatic hop bouquet mingling with malty undertones for excellent balance finishing with a pleasant lingering bitterness. A great thirst quencher or the perfect buffer with spicy foods!
5008,Best Bitter,Black Sheep Brewery PLC,English Bitter,3.8%,82,3.63,15,51,
5965,Anvil Ale,Iron Hill Brewery & Restaurant,English Bitter,4.8%,82,3.67,24,49,Medium-bodied and copper-colored English-style best bitter with a noticeable malt flavor. Finishes with a hop bitterness and floral hop flavor. 30 IBU
14001,Master Brew Kentish Ale,Shepherd Neame Ltd,English Bitter,4%,77,3.33,29,49,
4024,Courage Best Bitter,Eagle Brewery,English Bitter,4%,73,3.09,19,49,
139000,Chapter XXXIX: Return Of The Lambton Dragon,Insight Brewing,English Bitter,4.1%,82,3.65,10,49,Formerly Lamb & Flag ESB
67887,Bachelor Bitter,Deschutes Brewery,English Bitter,5%,82,3.66,8,47,"Bachelor Bitter is a well-rounded traditional style English pub bitter that is always on tap at our pubs. Its full-flavored perfection comes from crystal malts, providing caramelized and toasted sugar notes, and generous amounts of English and domestic hops. IBU 50"
18556,Bedarö Bitter,Nynäshamns Ångbryggeri,English Bitter,4.5%,86,3.87,29,47,
2451,Brains SA,Brains,English Bitter,4.2%,79,3.45,25,47,"In the mid-1950’s Brains introduced SA Best Bitter. This was quickly shortened to the easier bar call of SA and has become one of our most famous beers recognised throughout the country and further a field. SA celebrated its 50th birthday last year which is a testament to its popularity and is currently displayed on the Welsh rugby shirt. The renowned ‘special ale’ is copper coloured with a full premium quality flavour. A nutty richness derived from a blend of fine pale and crystal malts is balanced with a satisfying dryness from the unique use of three hops: Challenger, Goldings and Fuggles. The aroma has a hint of spirit which adds to the legendary mystique of this premium cask beer."
12971,Betty Stogs,Skinner's Brewery,English Bitter,4%,83,3.73,14,47,
43289,Licht & Lustig,Brouwerij De Molen,English Bitter,4.5%,82,3.65,13,46,Formerly Amerikaans Dry hopped with Amarillo De Molen beers are not all about heavy flavours and body. Now and then it’s time for something different and refreshing. This light amber coloured Bitter with an American touch is a great example. English Bitters are mild and malty. American hops give an ale a bitter citrus and grassy character. Amerikaans has the best of both the old and the new world. A very delicious session beer at 4.5% ABV. 30 IBU
13084,Barnsey,Bath Ales Ltd,English Bitter,4.5%,83,3.71,21,46,
35514,S.O.B. (Special Old Bitter),Wild Rose Brewery & Taproom,English Bitter,4.1%,79,3.44,23,44,"Golden-bronze colour and light in body, Wild Rose S.O.B. is delicately hopped and refreshingly delicious. Very gentle and approachable, this classic English ale is an excellent choice to enjoy as a ""session beer. 23 IBU"
80580,Fripp,Tired Hands Brewing Company,English Bitter,4.6%,86,3.89,6,44,American Bitter. Brewed with a plethora of specialty malts. Hopped with Cascade.
27854,Banks's Bitter,Marston's PLC,English Bitter,3.7%,74,3.13,19,44,
57877,Murray's Punch & Judy,Murray's Craft Brewing Co.,English Bitter,3.9%,85,3.84,29,43,
106722,Whitstable Bay Pale Ale,Shepherd Neame Ltd,English Bitter,4%,78,3.37,11,42,
8082,Goldings,Shepherd Neame Ltd,English Bitter,4.7%,78,3.4,38,41,
