id,name,brewer,style,abv,rank,av_rating,n_reviews,n_ratings,desc
712,Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,German Helles,5.1%,92,4.11,966,"2,504","A good beer takes its time. The long storage makes our yellow bright lager, “Original”, a flavourful beer enjoyed with fine poured, white foam. With a mild hoppy note and its pleasant fresh spicy taste, it goes very well with salads, poultry, stews or with a hearty snack. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill."
3062,Hofbräu Original,Hofbräuhaus München,German Helles,5.1%,86,3.83,549,"1,735",
1944,Spaten Münchner Hell (Premium Lager),Spaten-Franziskaner-Bräu,German Helles,5.2%,83,3.69,647,"1,539",Marketed as Premium Lager in the US.
57471,Two Women Lager,New Glarus Brewing Company,German Helles,5%,86,3.84,332,"1,537","The collaboration of two Craft companies both led by women, New Glarus Brewing and Weyermann Malting, is unique. You hold the result “Two Women” a Classic Country Lager brewed with Weyermann’s floor malted Bohemian malt and Hallertau Mittelfrueh hops. A tempting and graceful classic lager found…Only in Wisconsin!"
44531,Hell Lager,Surly Brewing Company,German Helles,5%,86,3.84,352,"1,221"," unlike a Zwickel Bier from Germany, Hell is not filtered and fermented with lager yeast. American hops takes a back seat to the Pils malt sweetness and fresh bread aroma. The color is well... hell (Deutsch for light). It's fiendishly drinkable, and you don't have to sell your soul to get another."
388,Paulaner Original Münchner Hell (Premium Lager),Paulaner Brauerei GmbH & Co. KG,German Helles,4.9%,85,3.76,504,"1,150",Our Original Munich Lager is a true classic and a beer which always goes down well. It is mild with a hint of sweetness and a soft hit of hops in the background. This Munich beer is ideal to accompany spicy dishes.
1002,Victory Helles Lager,Victory Brewing Company - Downingtown,German Helles,4.8%,82,3.61,373,912,Formerly Victory Lager
280,Löwenbräu Original,Löwenbräu AG,German Helles,5.2%,76,3.3,413,896,
73559,Hotter Than Helles Lager,Cigar City Brewing,German Helles,5%,82,3.61,114,811,Our Munich Lager is a nod to the thirst quenching lagers of Germany. Our Helles has a sweet malt expression that is balanced by floral bitterness from the use of German Hallertaur Mittelfruh hops. A very refreshing beer that will also entice you by its subtle complexity and drinkability.
29145,Aecht Schlenkerla Helles Lagerbier,Brauerei Heller-Trum / Schlenkerla,German Helles,4.3%,89,3.98,434,799,“Schlenkerla Helles” is brewed with fine Bavarian aroma hops from the area around the city of Nürnberg. It's lagered in century old caves underneath the historic Schlenkerla brewery and maltings. Schlenkerla Helles is boiled in the same copper kettles and bottom fermented by the same yeast as the historic Schlenkerla Smokebeer. Its subtle smokiness without using smoke malt makes “Helles Schlenkerla Lager” a unique representative of the classic lager beer style “Bavarian Helles”.
22981,Gorch Fock,3 Floyds Brewing Co.,German Helles,5%,84,3.71,201,664,"A light golden colored Franconian style Helles Lager. With a slightly sweet malt body, a noble hop profile and a crisp finish this beer is as traditional as we’ll ever get."
31425,Hacker-Pschorr Münchner Gold,Hacker-Pschorr Bräu GmbH,German Helles,5.5%,84,3.72,273,650,"At the end of the 19th century, Munich took great pleasure in two new beaming additions to the city; the golden Angel of Peace and the first lager beer specialty, Munich Gold. Still brewed by us to this day according to the age-old recipe, this slightly stronger beer is a mature masterpiece and delights with its enticing malty aroma and its slightly stronger original wort."
43605,Bikini Blonde Lager,Maui Brewing Co.,German Helles,5.1%,82,3.62,199,619,"A clean, crisp & refreshing Helles, perfect any time. 18 IBU"
4139,Edelstoff,Augustiner-Bräu Wagner KG,German Helles,5.7%,88,3.93,275,614,
38861,Longfin Lager,Ballast Point Brewing Company,German Helles,4.5%,82,3.62,124,598,"Our Longfin Lager has become one of the go-to beers with the team at the brewery. A solidly balanced Helles that finishes clean with a hint of hops, it would easily fit in at any German beer garden. But we think it’s perfect for enjoying on the beach, the boat or anywhere else you can put an ice chest full of beer."
2106,Gold Lager,Stoudts Brewing Co.,German Helles,4.7%,88,3.94,262,546,"AKA ""McGillin's Genuine Lager"" and ""Golden Helles Lager"""
2560,Augustiner Bräu Lagerbier Hell,Augustiner-Bräu Wagner KG,German Helles,5.2%,93,4.19,145,467,"A particularly mild, sparkling, long stored beer, refreshing and easily digestible at the same time. Uniquely in its taste, a benefit for each beer connoisseur."
153110,House Lager,Jack's Abby Brewing,German Helles,5.2%,87,3.9,125,467,"House Lager pulls inspiration from the numerous country lagers, or landbiers, found in Franconia. It’s sweet and golden with a full malty body that comes from using a traditional German malt variety. A special beer for year-round enjoyment."
260797,Fresh As Helles,Boston Beer Company (Samuel Adams),German Helles,5.4%,82,3.63,150,463,"The soft citrus of orange blossom adds a bright accent to the slightly sweet honey malt notes in this Helles lager, leading to a round, smooth finish. IBU: 18"
3319,Stiegl Goldbräu,Stieglbrauerei zu Salzburg GmbH,German Helles,5%,80,3.52,190,449,
49145,Summer Lager,The Schlafly Tap Room,German Helles,4.5%,80,3.53,109,389,"Our Helles-Style Summer Lager is a bright, golden beer, perfect for summertime. The malts we use impart a wonderful, fresh grain character, reminiscent of European lagers. The German Noble hop, Mittelfrüh, lends a mild lemony, spicy flavor. The German word “Helles” translates as “light” and “Lager” means “to store”. This beer style emerged in Germany through the Spaten Brewery’s marriage of British, Bohemian and German brewing techniques. This style is an integral part of brewing history and a predecessor of the straw-colored, light-bodied beers which are the most widely consumed beers in the world today. The lager yeast ferments the beer more slowly and at lower temperatures; it is then stored for maturation. This results in a beer which is more smooth and drinkable. Today, many American craft brewers offer this style as a maltier and hoppier alternative to American light lagers. 17 IBU"
24283,Helles Golden Lager,Sly Fox Brewing Company,German Helles,4.9%,83,3.69,81,352,German Pils malt / Saaz & Hallertauer M. Hops 18 IBU
57660,Helles Golden Lager,von Trapp Brewing,German Helles,4.9%,87,3.9,105,345,"German for ""bright"", our Helles is an easy-drinking, yet surprisingly complex, golden lager. 20 IBU"
