rating,look,smell,taste,feel,overall,review,date,id,name
3.62,4.25,3.5,3.5,3.75,3.75,"From notes 3/31/13: Pours clear medium amber producing 2+ fingers of frothy, off-white, somewhat lasting head that leaves abundant webs of lace. Aroma is toasted malt, sugary caramel, yeast and a burnt hint with a thin hop character. Taste is malty toast with a hint of char, caramel, toffee, some chocolate, cream and yeast backed by a hoppy bitterness. Average at best, To tell the truth I'm a little disappointed based on what I have come to expect from this brewery. Taste more like a bitter Amber Ale than an English Bitter.",2019-01-04,1157,Honker's Ale
4.06,4.0,4.25,4.0,4.0,4.0,"It's funny that the best English Bitter that I had is made by an American brewery. As it has much morecontent, aromaand flavor than the English counterparts, I vote this the best I've ever had. Along with the typical/trademark English Bitter light/watery body, it has enough malts and most importantly, fragrant hops that stand out in the aroma. The taste is also quite well balanced, does not get too light nor too dry bitter so I found it overall nice - although not to an extent that I would want to drink it again. I loved the aroma though, it was a pleasant beer.",2018-12-17,1157,Honker's Ale
3.93,3.75,3.75,4.0,4.0,4.0,"12oz bottle dated 21SEP18 poured into my mouth looks awful, but I remember it being more on the dirty orange end of the color scale and with active bubbly carbonation. Aroma is flowery, fruity hops and that flows into the flavor to which is added a good caramel malt for balance. Mouthfeel is lighter with a slight stickiness.  Overall this is very much like beer.",2018-12-14,1157,Honker's Ale
4.35,4.0,4.0,4.75,4.0,4.25,"Had this on tap when we went for dinner. I was struck immediately by the wonderful look, smell, and taste. I pulled a social ‘no no’ with my smart phone to check where it is available in Toronto.",2018-08-19,1157,Honker's Ale
3.27,3.5,3.25,3.25,3.25,3.25,"As a fan of their IPA thought I would give Honkers a go in honour of the goose. Does this one live up to all the....honk....let’s find out. Poured into a tulip this one presents coppar caramel with excellent collar that lasted well. Fine effervesence here. Nose is simple: light fruity hops like many red ambers. finishes light and clean. Not bad, but give me their IPA anyday. Honk on beer lovers.",2018-08-18,1157,Honker's Ale
3.68,4.0,3.5,3.75,4.0,3.5,"One of those beers you just happen to come across because somebody bought a mix pack and you grabbed the one beer you hadn't tried before. Living in England, I find it interesting that this is listed as an English bitter. I wouldn't have guessed that from just drinking it. It strikes me as more of an American amber...but whatever. There is just a light whiff of fruity hops, and actually the hops are reasonably pronounced in the flavor. Somewhat malty. Honestly, this beer sort of a forgettable in between beer. It reminds me of what small brew pubs used to make in the 90s when all they had was a light, amber, and dark beer to choose from. Just okay.",2018-07-02,1157,Honker's Ale
3.25,3.75,3.0,3.25,3.5,3.25,"Bottle is 5 months old so a bit too far gone probably. Still they put a 1yr BBE date on it so a rating is fair game Pours light amber, rocky head, bright. Looks good. Some caramel and pear on nose. Light aroma. Taste in same ballpark. Light body, low bitterness, well carbed for style. It's ok , not a style that needs bottled though",2018-04-06,1157,Honker's Ale
4.34,4.0,4.25,4.5,4.25,4.25,"Goose Island Beer Co. ""Honker's Ale"" 12 fl. oz. brown glass bottle, ""BOTTLED ON DATE: 01NOV17 08:47"" Notes via stream of consciousness: Honker's and I go way back to when I went to Siebel in Chicago and Goose Island was our unofficial pub. I certainly drank a lot of it back then, and then strangely I seem to have forgotten all about it. Well that's at least partially because that was 1995 and I couldn't get it back home. Anyway, it's poured a creamy finger-thick head of off-white for me atop a surprisingly hazy copper body. The aroma is brightly floral with some roses, fruity with apple and perhaps a hint of pear, and gently earthy and mineralish. It's very English in character, and I wonder why you don't see more beers like these lately. Moving on... the flavor follows the aroma as is usually the case, with some added lightly caramelish, grainy, and even honeyish malt and a bit of leafy and tea-like character from the hops. It's really nicely rounded with all of the components being clear enough that you can find them on their own, but also working with everything else to create a ""whole"". A median bitterness balances it (the label notes 30 IBUs) and it finishes mostly dry with some residual malt and plenty of floral, fruit, and softly mineralish notes lingering. The body is medium, and in keeping with the English character it's only softly carbonated giving it a smooth mouthfeel. Very nicely done. The only knock I have against it is that the head retention and lacing could be better but at the same time I'm not sure if the glass I'm using is actually ""beer clean"" so I'll have to give it a pass. Easily one of the best American brewed English-style bitters on the market.",2018-02-26,1157,Honker's Ale
4.47,4.25,4.0,4.75,4.5,4.5,"a very nice interpretation of the style...the nose is the only 'less' impressive aspect...poured into an ""old speckled hen"" english pint glass....very light english tea color...delicate amber...nose comes alive after a semi-vigorous swirling...malt biscuit expected dynamics...maybe pears...taste is the best part, melded with that light but creamy mouthfeel...again, malty, biscuity, tart-sweet cream...maybe plain greek yoghurt dialed down from the tang...and a touch of vanilla added...honey? wow!",2018-01-19,1157,Honker's Ale
3.59,3.5,3.75,3.5,3.75,3.5,"On draught at Old Chicago April 11, 2015. Pours a clear copper/gold, good head of foam to start, recedes leaving little lacing behind. Smells of bready malt, some sweetness, touch of h Light bodied, kinda lively carbonation. Average beer, imho. Tastes of bread, malty sweetness, light bitterness, very lightly flavoured overall.",2018-01-16,1157,Honker's Ale
