Beer,url
Honker's Ale,https://www.beeradvocate.com//beer/profile/1146/1157/
Fuller's London Pride,https://www.beeradvocate.com//beer/profile/71/222/
Bluebird Bitter,https://www.beeradvocate.com//beer/profile/298/828/
Spitfire Premium Kentish Ale,https://www.beeradvocate.com//beer/profile/138/305/
Younger's Special Bitter,https://www.beeradvocate.com//beer/profile/132/2679/
Newcastle Summer Ale,https://www.beeradvocate.com//beer/profile/81/50670/
City Steam The Naughty Nurse,https://www.beeradvocate.com//beer/profile/556/2505/
Ruddles County,https://www.beeradvocate.com//beer/profile/203/1902/
Foster's Special Bitter,https://www.beeradvocate.com//beer/profile/575/917/
Uncle Teddy's Bitter,https://www.beeradvocate.com//beer/profile/345/4173/
Long Haul Session Ale,https://www.beeradvocate.com//beer/profile/689/56938/
Doom Bar,https://www.beeradvocate.com//beer/profile/10861/21878/
Gritty McDuff's Best Bitter,https://www.beeradvocate.com//beer/profile/74/231/
Old Golden Hen,https://www.beeradvocate.com//beer/profile/203/72718/
Hopback Summer Lightning,https://www.beeradvocate.com//beer/profile/2298/5785/
Belhaven Best,https://www.beeradvocate.com//beer/profile/148/9684/
Adnams Southwold Bitter,https://www.beeradvocate.com//beer/profile/779/5413/
Geary's Winter Ale,https://www.beeradvocate.com//beer/profile/62/14050/
Brakspear Bitter,https://www.beeradvocate.com//beer/profile/806/4064/
Goliath,https://www.beeradvocate.com//beer/profile/160/4526/
McNellie's Pub Ale,https://www.beeradvocate.com//beer/profile/16878/43171/
Young's Bitter,https://www.beeradvocate.com//beer/profile/664/42187/
Session Ale-Extra Special Bitter,https://www.beeradvocate.com//beer/profile/35/208360/
Courage Directors Bitter,https://www.beeradvocate.com//beer/profile/664/4025/
St. Peter's Ruby Red Ale,https://www.beeradvocate.com//beer/profile/296/29633/
Op & Top,https://www.beeradvocate.com//beer/profile/11031/61977/
Tetley's Smoothflow,https://www.beeradvocate.com//beer/profile/8535/20558/
Arkell Best Bitter,https://www.beeradvocate.com//beer/profile/618/7300/
Chester County Bitter,https://www.beeradvocate.com//beer/profile/1853/53373/
Cain's Finest Bitter,https://www.beeradvocate.com//beer/profile/2930/11361/
London Homesick Ale,https://www.beeradvocate.com//beer/profile/35016/123416/
Bitter,https://www.beeradvocate.com//beer/profile/7944/21076/
Colonel Blides Cask Ale,https://www.beeradvocate.com//beer/profile/1344/10094/
Boddingtons Bitter,https://www.beeradvocate.com//beer/profile/655/14511/
XB Bluebird Bitter,https://www.beeradvocate.com//beer/profile/298/22363/
Pitchfork Rebellious Bitter,https://www.beeradvocate.com//beer/profile/748/4059/
Old Brewery Bitter,https://www.beeradvocate.com//beer/profile/113/4074/
HopHead,https://www.beeradvocate.com//beer/profile/7898/14297/
Little Dog,https://www.beeradvocate.com//beer/profile/173/61950/
Camerons Strongarm,https://www.beeradvocate.com//beer/profile/798/2933/
St. Peter's Best Bitter,https://www.beeradvocate.com//beer/profile/296/10597/
HSB (Horndean Special Bitter),https://www.beeradvocate.com//beer/profile/181/3152/
St. Patrick's Best,https://www.beeradvocate.com//beer/profile/10093/20842/
Boltmaker,https://www.beeradvocate.com//beer/profile/2150/10403/
West Bank Pub Ale,https://www.beeradvocate.com//beer/profile/1177/11445/
Hooky Bitter,https://www.beeradvocate.com//beer/profile/3052/35153/
Adnams Bitter,https://www.beeradvocate.com//beer/profile/779/23975/
St. Peter's Organic Best Bitter,https://www.beeradvocate.com//beer/profile/296/2436/
Jeffrey Hudson Bitter,https://www.beeradvocate.com//beer/profile/1680/4775/
Hopping Hare,https://www.beeradvocate.com//beer/profile/1306/36604/
Pure UBU,https://www.beeradvocate.com//beer/profile/15719/35547/
Apparition Ale,https://www.beeradvocate.com//beer/profile/850/62442/
Brains The Rev. James,https://www.beeradvocate.com//beer/profile/801/2454/
Uncle Bob's Bitter,https://www.beeradvocate.com//beer/profile/28744/86242/
Old Leg Over,https://www.beeradvocate.com//beer/profile/2449/6201/
SOB (Special Old Bitter),https://www.beeradvocate.com//beer/profile/7008/32569/
Best Bitter,https://www.beeradvocate.com//beer/profile/1417/5008/
Anvil Ale,https://www.beeradvocate.com//beer/profile/6045/5965/
Master Brew Kentish Ale,https://www.beeradvocate.com//beer/profile/138/14001/
Courage Best Bitter,https://www.beeradvocate.com//beer/profile/664/4024/
Chapter XXXIX: Return Of The Lambton Dragon,https://www.beeradvocate.com//beer/profile/36843/139000/
Bachelor Bitter,https://www.beeradvocate.com//beer/profile/63/67887/
Bedarö Bitter,https://www.beeradvocate.com//beer/profile/3476/18556/
Brains SA,https://www.beeradvocate.com//beer/profile/801/2451/
Betty Stogs,https://www.beeradvocate.com//beer/profile/6881/12971/
Licht & Lustig,https://www.beeradvocate.com//beer/profile/11031/43289/
Barnsey,https://www.beeradvocate.com//beer/profile/5049/13084/
S.O.B. (Special Old Bitter),https://www.beeradvocate.com//beer/profile/2593/35514/
Fripp,https://www.beeradvocate.com//beer/profile/28383/80580/
Banks's Bitter,https://www.beeradvocate.com//beer/profile/6695/27854/
Murray's Punch & Judy,https://www.beeradvocate.com//beer/profile/12897/57877/
Whitstable Bay Pale Ale,https://www.beeradvocate.com//beer/profile/138/106722/
Goldings,https://www.beeradvocate.com//beer/profile/138/8082/
Young's London Gold (Kew Gold),https://www.beeradvocate.com//beer/profile/664/42508/
Organic Yellowhammer,https://www.beeradvocate.com//beer/profile/3393/12549/
London Calling,https://www.beeradvocate.com//beer/profile/9784/42706/
Best Bitter,https://www.beeradvocate.com//beer/profile/1345/12660/
Raven Ale,https://www.beeradvocate.com//beer/profile/118/12744/
Adnams Gunhill,https://www.beeradvocate.com//beer/profile/779/49413/
Little Barley Bitter,https://www.beeradvocate.com//beer/profile/1168/12060/
Bailout Bitter,https://www.beeradvocate.com//beer/profile/11977/46698/
"English Pale Ale ""British Bitter""",https://www.beeradvocate.com//beer/profile/26824/94831/
Bob's Your Uncle,https://www.beeradvocate.com//beer/profile/11882/73689/
Butcombe Bitter,https://www.beeradvocate.com//beer/profile/3508/13926/
Sussex Best Bitter,https://www.beeradvocate.com//beer/profile/164/27758/
Sassy Red,https://www.beeradvocate.com//beer/profile/626/23210/
John Smith's Bitter,https://www.beeradvocate.com//beer/profile/4425/4020/
Oliver's Best Bitter,https://www.beeradvocate.com//beer/profile/1140/16461/
Tomos Watkin Old Style Bitter,https://www.beeradvocate.com//beer/profile/8405/26750/
Daniel Shay's Best Bitter,https://www.beeradvocate.com//beer/profile/235/8260/
First Gold,https://www.beeradvocate.com//beer/profile/1306/28540/
Rousse Bitter,https://www.beeradvocate.com//beer/profile/2248/10144/
Double Drop,https://www.beeradvocate.com//beer/profile/427/11439/
ESB,https://www.beeradvocate.com//beer/profile/11747/41264/
'taint Town Pale Ale,https://www.beeradvocate.com//beer/profile/663/8900/
Seafarers,https://www.beeradvocate.com//beer/profile/181/24387/
Blue,https://www.beeradvocate.com//beer/profile/7944/32862/
Norfolk Wherry Best Bitter,https://www.beeradvocate.com//beer/profile/2251/9391/
St. Peter's G-Free (Gluten Free Beer),https://www.beeradvocate.com//beer/profile/296/46812/
SB 604,https://www.beeradvocate.com//beer/profile/26753/83425/
Revival,https://www.beeradvocate.com//beer/profile/9051/58084/
Best,https://www.beeradvocate.com//beer/profile/164/7350/
Barn Owl Premium Bitter,https://www.beeradvocate.com//beer/profile/6872/18652/
Tomos Watkin's Cwrw Braf,https://www.beeradvocate.com//beer/profile/8405/27694/
Skye Gold,https://www.beeradvocate.com//beer/profile/577/11709/
Live Organic,https://www.beeradvocate.com//beer/profile/806/12480/
Piledriver,https://www.beeradvocate.com//beer/profile/160/126466/
Golden Hare,https://www.beeradvocate.com//beer/profile/5049/52239/
Bishop's Tipple,https://www.beeradvocate.com//beer/profile/2749/24919/
Kilntym,https://www.beeradvocate.com//beer/profile/28383/123770/
Little Dog (Fred),https://www.beeradvocate.com//beer/profile/173/66540/
Crouch Vale Brewers Gold,https://www.beeradvocate.com//beer/profile/6575/20467/
Royal Oak Traditional Bitter,https://www.beeradvocate.com//beer/profile/1533/19449/
Banks's Bitter,https://www.beeradvocate.com//beer/profile/427/35658/
Ruddles Best,https://www.beeradvocate.com//beer/profile/203/6817/
Mooey,https://www.beeradvocate.com//beer/profile/46658/242866/
Golden Seahawk,https://www.beeradvocate.com//beer/profile/6872/18651/
Best Bitter,https://www.beeradvocate.com//beer/profile/816/2530/
Arbor Brewing Huxell Best Bitter,https://www.beeradvocate.com//beer/profile/1457/5131/
Victory Bitter,https://www.beeradvocate.com//beer/profile/1542/8253/
Somers Amber Ale,https://www.beeradvocate.com//beer/profile/11039/4471/
Triple B,https://www.beeradvocate.com//beer/profile/16419/56734/
Edinburgh Gold,https://www.beeradvocate.com//beer/profile/11082/27557/
Moylan's Special Bitter (MSB),https://www.beeradvocate.com//beer/profile/870/2750/
Hope Street Bitter,https://www.beeradvocate.com//beer/profile/231/51714/
Caddy Wompus,https://www.beeradvocate.com//beer/profile/22928/70724/
Pitch Penny Ale,https://www.beeradvocate.com//beer/profile/29546/87675/
Junction,https://www.beeradvocate.com//beer/profile/24244/88975/
